COSC 101
ENGL 101
MATH 141
EF 151
COSC 102
ENGL 102
MATH 142
EF 152
COSC 202
COSC 230
MATH 251
VC NS
VC SS
COSC 302
COSC 311
ECE 313
VC AH
COSC 360
